LocationID,zscore
188,-52199.72685599176 / ((sqrt(323384448.3333333 - 337988105459.86426)) * sqrt(0.2619303882460091 / 26))
189,-13743.279640821245 / ((sqrt(175605545 - 115022167527.94215)) * sqrt(0.07153067092430443 / 10))
190,20829.008524859906 / ((sqrt(465589168.90909094 - 277556170896)) * sqrt(0.033720522287468246 / 10))
191,-67229.6061158767 / ((sqrt(78011601.1111111 - 463156166666.716)) * sqrt(0.325611387382569 / 26))
192,58608.402264602715 / ((sqrt(196816367.76666668 - 494199767309.7878)) * sqrt(0.37641938407307096 / 29))
193,-42965.01986818615 / ((sqrt(45597521.13333333 - 297756112680.11115)) * sqrt(0.07258543908405368 / 14))
194,-37777.260102547705 / ((sqrt(-293805224.7826087 - 916809413915.7732)) * sqrt(0.08694647026212676 / 22))
195,25366.24851133139 / ((sqrt(-294475660.5 - 289352606993.33636)) * sqrt(0.09802701746578957 / 17))
196,-6808.8346909080865 / ((sqrt(54418804.833333336 - 625506201210.25)) * sqrt(0.10664119072103517 / 17))
197,4203.9831013713265 / ((sqrt(151721263.86666667 - 749496513068.4443)) * sqrt(0.03300629596714999 / 14))
198,-18250.453950029798 / ((sqrt(-175303900.45 - 323061110355.6225)) * sqrt(0.30003454356968007 / 19))
199,23217.321931486716 / ((sqrt(135565689.75757575 - 450856741041.7777)) * sqrt(0.3212355826695288 / 32))
200,32269.674791138037 / ((sqrt(301941789 - 504033120218.41003)) * sqrt(0.15777949048006046 / 19))
201,-8588.853156156372 / ((sqrt(85551482.5 - 284022201260.44446)) * sqrt(0.059151703494500274 / 11))
202,36156.80899744807 / ((sqrt(131323194.05263157 - 519199659720.80054)) * sqrt(0.11947927544917414 / 18))
203,24588.330296674336 / ((sqrt(-232518156.5 - 424268677152.81)) * sqrt(0.060061231626833356 / 9))
204,-4665.197900133091 / ((sqrt(35533044.3 - 47772364047.21)) * sqrt(0.04120254224682879 / 9))
205,-35623.15702031649 / ((sqrt(595284560.3333334 - 472583377809)) * sqrt(0.01781500710666245 / 5))
206,17853.103834453737 / ((sqrt(11689365.333333334 - 344728780352.007)) * sqrt(0.21424452664241067 / 23))
207,-102953.29820049054 / ((sqrt(76420262.84375 - 483886010541.9619)) * sqrt(0.6327946815308487 / 31))
208,-10651.995566084574 / ((sqrt(551290840.6666666 - 176077587456)) * sqrt(0.002659569760259335 / 2))
209,-51286.85382765456 / ((sqrt(-220885597.83333334 - 1866034773498.0276)) * sqrt(0.030505654954754866 / 5))
210,58347.642533917446 / ((sqrt(67402558.05 - 652214771883.4225)) * sqrt(0.11623363839534795 / 19))
211,-37768.62650583894 / ((sqrt(-78813924.32142857 - 408498615668.2156)) * sqrt(0.2784540207148396 / 27))
212,60756.5650480442 / ((sqrt(-66086862.733333334 - 153940981236.48447)) * sqrt(0.11620848353069979 / 14))
213,32551.389146195783 / ((sqrt(68397324.5 - 2326585849225)) * sqrt(0.016364530701166217 / 3))
214,17096.736174966733 / ((sqrt(43632628.27272727 - 142251791418.85123)) * sqrt(0.06156624412583783 / 10))
215,31155.557047345792 / ((sqrt(-509138685.64285713 - 304990397551.84186)) * sqrt(0.1021361303393355 / 13))
216,51144.54690358718 / ((sqrt(-219758322.70588234 - 394599026948.4429)) * sqrt(0.2113249869894589 / 16))
217,64557.35339693382 / ((sqrt(304910095 - 616410666483.0625)) * sqrt(0.03750235279468786 / 7))
218,-38933.61191002728 / ((sqrt(-136862597.1111111 - 567418371196.4938)) * sqrt(0.03191543691634996 / 8))
219,-15412.234843615443 / ((sqrt(113613643.77777778 - 697994525547.1111)) * sqrt(0.2758952545387565 / 26))
220,18475.925038462738 / ((sqrt(243425813.375 - 445667562576.3906)) * sqrt(0.4017926459304366 / 31))
221,17433.88371492829 / ((sqrt(-185695009.125 - 437174364970.1406)) * sqrt(0.026024254550666648 / 7))
222,32575.974309574813 / ((sqrt(161975250.60714287 - 613253273216.7971)) * sqrt(0.3681474724191498 / 27))
223,298.9462782642804 / ((sqrt(251202110.55555555 - 686286876058.7778)) * sqrt(0.019221838364092414 / 8))
224,6074.450678344263 / ((sqrt(195270792.25 - 142099658347.84027)) * sqrt(0.10144384100743847 / 11))
225,-119499.9172161002 / ((sqrt(-156685844.70588234 - 429984764403.82)) * sqrt(0.12811819158425186 / 16))
226,29063.077830630005 / ((sqrt(279414626.2222222 - 905169571216)) * sqrt(0.016343734767283846 / 8))
227,-8328.203030759585 / ((sqrt(-418589231.90909094 - 101712923679.67767)) * sqrt(0.045046903121646165 / 10))
228,34821.2562180495 / ((sqrt(92022429.61538461 - 310588863025)) * sqrt(0.057082493995075145 / 12))
229,3206.9691760913993 / ((sqrt(-701360070.6 - 831582401449.9601)) * sqrt(0.006998135153010079 / 4))
230,NaN / ((sqrt(NaN - NaN)) * sqrt(0 / -1))
231,-2074.695193723659 / ((sqrt(124233288.29032259 - 361346766897.0666)) * sqrt(0.6377215901959907 / 30))
232,1980.5503644350683 / ((sqrt(318474673.5 - 217167277346.40997)) * sqrt(0.05587035924408007 / 9))
233,81262.25774738309 / ((sqrt(168395347.5 - 424896526320.7656)) * sqrt(0.3631891114217938 / 31))
234,-86692.31661149068 / ((sqrt(198038497.04761904 - 454632840715.1111)) * sqrt(0.1680694598509498 / 20))
235,-44795.4343121663 / ((sqrt(-63148977 - 1592565756961)) * sqrt(0.011484410644313006 / 4))
236,67973.43812949653 / ((sqrt(301076358.5 - 414253140625)) * sqrt(0.11561846992924107 / 15))
237,37249.73250426946 / ((sqrt(-71558316.28571428 - 1634736861234.3672)) * sqrt(0.020697757477536938 / 6))
238,-38152.09923660674 / ((sqrt(-486172191.2 - 1267430143204)) * sqrt(0.02051246984446442 / 4))
239,13347.258556335524 / ((sqrt(-741936133.6666666 - 464468601707.11115)) * sqrt(0.004441604326630516 / 5))
240,2299.536336975405 / ((sqrt(-196533447.41666666 - 492024737302.5625)) * sqrt(0.04479797147531328 / 11))
241,26969.805121451558 / ((sqrt(142100159.45454547 - 134469290036.66116)) * sqrt(0.10614848393180487 / 10))
242,-32923.86250565795 / ((sqrt(463374028 - 268382796220.5625)) * sqrt(0.12622778066307871 / 15))
243,-19540.874595120316 / ((sqrt(109121276.76470588 - 508165437911.1729)) * sqrt(0.12338163071827168 / 16))
244,-22132.655009550683 / ((sqrt(391738609.5555556 - 456873554186.71606)) * sqrt(0.019935165069774885 / 8))
245,-15051.207112008706 / ((sqrt(-266304226 - 2529251291044)) * sqrt(0.0016756025104198574 / 2))
246,112066.23756967881 / ((sqrt(-1689173.6 - 472786242269.88446)) * sqrt(0.1139736958870875 / 14))
247,77269.4204516852 / ((sqrt(-34052235.266666666 - 485182366866.77783)) * sqrt(0.10827858615232805 / 14))
248,-5305.110304317437 / ((sqrt(1575263311.25 - 1033239214014.0625)) * sqrt(0.0005847153414809958 / 3))
249,-79362.36381460796 / ((sqrt(231878543 - 374737941671.0408)) * sqrt(0.08562258796798117 / 13))
250,-98375.43562386441 / ((sqrt(162911148.25 - 599178869015.6024)) * sqrt(0.12785024109578647 / 19))
251,46307.10274526407 / ((sqrt(186071546.35714287 - 348647988352.04596)) * sqrt(0.06436044333138391 / 13))
